Date;Open;High;Low;Close
2022-09-29T06:00:00+02:00;3948;3958;3809;3882.5
2022-09-30T06:00:00+02:00;3891;4088;3750;3965
2022-10-03T06:00:00+02:00;3971;4092;3912.5;4077
2022-10-04T06:00:00+02:00;4100;4140;3961.5;4094
2022-10-05T06:00:00+02:00;4088.5;4189;4000;4102.5
2022-10-06T06:00:00+02:00;4123;4158;4010;4041
2022-10-07T06:00:00+02:00;4025;4030;3850;3875
2022-10-10T06:00:00+02:00;3778;4069;3757;4035
2022-10-11T06:00:00+02:00;4040;4188;4012.5;4170
2022-10-12T06:00:00+02:00;4181;4280;4135;4149
2022-10-13T06:00:00+02:00;4150;4261.5;4118;4185.5
2022-10-14T06:00:00+02:00;4199;4203;4090;4139
2022-10-17T06:00:00+02:00;4150;4220;4113;4212.5
2022-10-18T06:00:00+02:00;4255;4359;4207;4240
2022-10-19T06:00:00+02:00;4210.5;4277;4106.5;4204.5
2022-10-20T06:00:00+02:00;4220;4400;4180.5;4380.5
2022-10-21T06:00:00+02:00;4399;4462;4350.5;4433
2022-10-24T06:00:00+02:00;4474;4491;4385.5;4439.5
2022-10-25T06:00:00+02:00;4465;4579.5;4436;4569.5
2022-10-26T06:00:00+02:00;4574;4624;4512.5;4613.5
2022-10-27T06:00:00+02:00;4623.5;4746.5;4592;4724
2022-10-28T06:00:00+02:00;4712;4800;4516;4700.5
2022-10-31T05:00:00+01:00;4730;4765;4659;4695.5
2022-11-01T05:00:00+01:00;4725;4729.5;4660;4700
2022-11-02T05:00:00+01:00;4710;4788;4626.5;4670
2022-11-03T05:00:00+01:00;4670;4687;4620;4687
2022-11-07T05:00:00+01:00;4718;4732;4695;4723.5
2022-11-08T05:00:00+01:00;4723.5;4725;4688;4697.5
2022-11-09T05:00:00+01:00;4698;4713;4600;4632
2022-11-10T05:00:00+01:00;4633;4694.5;4625.5;4681
2022-11-11T05:00:00+01:00;4690.5;4694;4648.5;4670
2022-11-14T05:00:00+01:00;4680;4684.5;4654;4658.5
2022-11-15T05:00:00+01:00;4660;4676;4427;4565
2022-11-16T05:00:00+01:00;4596;4670;4576.5;4661.5
2022-11-17T05:00:00+01:00;4662;4666;4602;4621
2022-11-18T05:00:00+01:00;4583;4641;4583;4623
2022-11-21T05:00:00+01:00;4623;4625;4555;4605.5
2022-11-22T05:00:00+01:00;4608;4646.5;4581;4618
2022-11-23T05:00:00+01:00;4628;4719;4610;4679
2022-11-24T05:00:00+01:00;4680;4707;4653;4664
2022-11-25T05:00:00+01:00;4668;4678.5;4635;4669
2022-11-28T05:00:00+01:00;4647;4657;4590;4624
2022-11-29T05:00:00+01:00;4631;4648;4595;4602
2022-11-30T05:00:00+01:00;4603;4618;4584;4614.5
2022-12-01T05:00:00+01:00;4618;4623.5;4572.5;4599.5
2022-12-02T05:00:00+01:00;4590;4598;4574;4577.5
2022-12-05T05:00:00+01:00;4589.5;4649;4575;4619
2022-12-06T05:00:00+01:00;4632.5;4633;4586;4603.5
2022-12-07T05:00:00+01:00;4610;4612;4580;4592.5
2022-12-08T05:00:00+01:00;4600;4602;4565;4578
2022-12-09T05:00:00+01:00;4583;4586;4570;4583
2022-12-12T05:00:00+01:00;4595;4607;4575;4583.5
2022-12-13T05:00:00+01:00;4596;4596;4560;4577.5
2022-12-14T05:00:00+01:00;4580;4604;4560;4590.5
2022-12-15T05:00:00+01:00;4591;4599.5;4511;4521
2022-12-16T05:00:00+01:00;4526.5;4590;4501;4580
2022-12-19T05:00:00+01:00;4585;4625;4530.5;4625
2022-12-20T05:00:00+01:00;4146;4146;3883.5;4076
2022-12-21T05:00:00+01:00;4085;4095;3997;4040.5
2022-12-22T05:00:00+01:00;4050;4058.5;4017;4027.5
2022-12-23T05:00:00+01:00;4022;4024.5;3985;4010.5
2022-12-26T05:00:00+01:00;4014;4047;4000;4010
2022-12-27T05:00:00+01:00;4020;4035;4011;4028.5
2022-12-28T05:00:00+01:00;4032.5;4040;4010;4015.5
2022-12-29T05:00:00+01:00;4017;4035;4015.5;4022
2022-12-30T05:00:00+01:00;4030.5;4088;4022.5;4069.5
